rn	rab.all	rab.win.hide.untreated.Day.1	rab.win.hide.untreated.Day.6	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
K18887	-0.9654253480862	-1.1359093688887	-0.653660416778768	0.487997904496194	3.56038677328031	0.148110707126305	0.37508328274276	0.842215555204571	0.881813821680003	0.818800000000007	0.857580957296171
K18888	-0.974722346591864	-1.12899685360092	-0.646968737484146	0.503394996477869	3.61256711003063	0.146905866165427	0.37508328274276	0.838749276067385	0.879023696931619	0.819100000000006	0.858111919767359
K18889	3.44279862140927	1.08343363259129	4.39077069471828	3.28065918937151	0.283297328602613	9.52366922350038	4.67861010389608e-05	0.0292112163188744	0.0720052105447104	0.0999999999999986	0.154379986830979
K18890	3.4507074383596	1.08346698404519	4.39110464390399	3.27993554133465	0.27697155129521	9.16379636509345	4.67861010389608e-05	0.0292822223968814	0.0721023642575399	0.0999999999999986	0.154379986830979
K18891	-2.53267939434822	0.677620484607592	-4.6157369242491	-4.79443887355395	3.8195574407677	-1.29083768509593	0.0592938771908134	0.103809816871825	0.16883217818198	0.154599999999999	0.220645230295921
K18892	-2.52770184383943	0.677663040673578	-4.62121779130182	-4.78656148443705	3.67313695715565	-1.2897162779618	0.0626249856173769	0.103139609043081	0.167954200234013	0.157199999999998	0.223817412691183
K18893	5.90448858424473	4.70359088857517	6.58988275948402	1.87696631324522	0.360775140155509	4.74622425818298	4.67861010389608e-05	0.00266056908193829	0.0252531970791332	0.0999999999999986	0.154379986830979
K18895	-5.1838147353326	-5.38590848467885	-2.89821813755073	2.50351938461111	2.82608048841628	0.49263553666065	0.319333341029517	0.641587566884972	0.706136275382914	0.672000000000004	0.739172282733848
K18896	-1.38324318351303	-1.62812901876332	0.569338409320604	2.22218410674935	2.19072078232526	1.06433388380406	0.123917420441111	0.116979055212134	0.186097233180777	0.243199999999999	0.32114305799813
K18897	-7.66969433576719	-6.13821384978424	-8.76662783280393	-2.23494171594725	4.41483394051223	-0.432485266770232	0.279147245325478	0.497510937286078	0.568212412234037	0.552399999999996	0.616878910591665
K18900	4.79832385428052	2.25049165422601	5.62638790352095	3.21474038663342	0.504074513483328	4.54920043945107	4.67861010389608e-05	0.0485116908855886	0.0990722001477289	0.0999999999999986	0.154379986830979
K18901	3.86712679707663	1.11255007518819	4.81192514849308	3.6165738630653	0.358953714135429	8.08917410186949	4.67861010389608e-05	0.042742629821478	0.0912897329913306	0.0999999999999986	0.154379986830979
K18902	3.8647053087173	1.10839455720094	4.8154272535014	3.62278323124417	0.35767542198406	7.37606585591321	4.67861010389608e-05	0.0426844387624116	0.0912211482739873	0.0999999999999986	0.154379986830979
K18903	4.56333723326245	1.30117284206931	5.47584785563768	4.14509464440415	0.376082382831423	5.72831922613592	4.67861010389608e-05	0.052564349148891	0.104501448279198	0.0999999999999986	0.154379986830979
K18904	-6.34601160801156	-5.24080883805336	-7.42884933179775	-2.51503644318274	4.32346564423639	-0.524061416503206	0.277333343620393	0.43611112029986	0.519552908408455	0.541799999999994	0.611462437246729
K18905	-7.84308592083987	-5.49188593047445	-8.92294969334741	-2.61826851933477	4.78323839181238	-0.511789051930589	0.266000011097222	0.49545037701532	0.568481924077636	0.514399999999993	0.587338340757663
K18906	-1.39575984319056	-1.76340373699217	-0.828592480418692	0.899819303177763	2.86222167896282	0.117266611121365	0.443333335459407	0.727405434511206	0.789449316961478	1	1
K18907	-1.18613093093492	0.511837967414073	-2.98259608352535	-3.39854973707056	0.799711948017447	-4.33086036435834	4.67861010389608e-05	0.00521598143583073	0.0300276036993799	0.0999999999999986	0.154379986830979
K18908	-0.848708727301901	-1.42723148751774	0.145854836258344	1.21992259457923	1.0824186598474	1.31171625272318	0.106000038497133	0.109448467532633	0.176448928218525	0.198999999999997	0.273899386338536
K18909	-2.71495367509895	-2.08031914706577	-7.24236292273834	-4.81264634302787	5.25906610720341	-0.758660825510213	0.330000007119284	0.313267651419122	0.407621838189858	0.697000000000006	0.762925357562309
K18910	1.31056917400397	0.0169940387856364	2.10997393352054	0.598231076364904	1.8229506051257	1.04804945176977	0.116666701108071	0.341515666498968	0.437867697797533	0.201599999999997	0.277579902054676
K18911	-1.97964473041636	0.869580023570433	-8.89224119919977	-9.54231896891751	2.48015417971848	-3.93851587379084	4.67861010389608e-05	0.0226463293043104	0.0587237634447117	0.0999999999999986	0.154379986830979
K18912	-1.72103976773111	0.893112764177335	-7.80202591829143	-8.52923084840695	2.14132199537493	-4.18220443931477	4.67861010389608e-05	0.0261896400967031	0.0641744127005298	0.0999999999999986	0.154379986830979
K18913	-2.56951871107418	-0.827777694145798	-8.92270802217338	-8.31377638458828	2.54742969774305	-3.38627181644192	4.67861010389608e-05	0.0288375066742576	0.0675719017478882	0.0999999999999986	0.154379986830979
K18916	-6.94306988696132	-6.66695770741204	-7.47105671530913	-0.497111057843007	4.61958819802153	-0.0921774675869866	0.444000002100422	0.673710405868215	0.738268402426892	0.827000000000002	0.85965120907596
K18917	0.734082750699388	1.65495976203492	-1.12821347086771	-2.84918069015883	1.02924415740391	-2.55164732827076	4.67861010389608e-05	0.0711069644691544	0.128650146006079	0.0999999999999986	0.154379986830979
K18918	2.01226997301312	1.67897250757145	2.86908771105421	1.16298461154765	0.659742048917571	1.7954717747322	0.00133587799650914	0.0533406776394975	0.105340354599797	0.101099999999999	0.155716335651792
K18920	-4.86748309261165	-5.38372026321706	-3.59246389057549	1.8169872447236	1.45435470075733	1.19896010085807	0.10000004115219	0.178294059230345	0.252053000737571	0.248799999999997	0.314721696397996
K18921	-6.36500356851327	-7.12023702679894	-3.12117846983527	4.29448816142421	4.91033446402103	0.794234800173352	0.206000016643155	0.322439502048185	0.403721993009395	0.417999999999995	0.498188244930558
K18922	-5.18929926157516	-5.37383068375772	-4.70697222929996	0.671740198008205	1.31104945312411	0.448943382196964	0.324450373828521	0.507018233999058	0.577444880657645	0.6151	0.669739775693629
K18923	4.16045773978899	1.15738409319097	6.04098221627608	4.68711082397405	0.396738400826471	10.8750497758166	4.67861010389608e-05	0.00863564680732262	0.0371648697226964	0.0999999999999986	0.154379986830979
K18924	1.60897076567864	1.70354906301659	1.01997640904939	-0.688918424340076	0.675321849930806	-0.755927664718375	0.261159238627767	0.366976952381799	0.463850945381762	0.493299999999991	0.581016832843701
K18925	1.60354277378638	1.70360555906107	1.01690759805889	-0.674915265989326	0.683647997526228	-0.754231314308764	0.247168566861408	0.367686715140039	0.464664492703463	0.488799999999992	0.577008881152264
K18926	2.22227120999015	2.24706641296312	1.64885728984712	-0.635084361806299	0.904120827495452	-0.828870748247963	0.215189889012032	0.274086350671736	0.365964034324645	0.399799999999994	0.49749131553273
K18927	-7.63569013226231	-1.95782317685752	-8.70633813068059	-5.51054097186642	6.05333586387069	-0.796141294089843	0.242505009630695	0.36356510755867	0.444115752138097	0.484899999999993	0.562287595120161
K18928	3.86218212923012	3.43478067030515	4.30890155387804	0.517143409755454	0.439450574615479	1.84803929627716	0.052631661912321	0.049534028854732	0.100301529883449	0.147799999999999	0.212417148261368
K18929	3.76120505595398	3.33930865180624	4.24407404727022	0.6060939729179	0.422457423595258	1.92180161095601	0.0100004582078925	0.0396832506601738	0.086779490967334	0.108499999999998	0.164696505530337
